"","lon","lat","ele","time","name","sym","site","cmt","desc","extensions","type","link"
"65",-78.6284489,-0.003922,NA,"16-AGO-18 8:45:53","102","Flag, Blue","Alaspungo","16-AGO-18 8:45:53","16-AGO-18 8:45:53","SymbolAndName",NA,NA
"66",-78.6284489,-0.003922,NA,"16-AGO-18 8:45:56","103","Flag, Blue","Alaspungo","16-AGO-18 8:45:56","16-AGO-18 8:45:56","SymbolAndName",NA,NA
"67",-78.6284489,-0.003922,NA,"16-AGO-18 8:45:57","104","Flag, Blue","Alaspungo","16-AGO-18 8:45:57","16-AGO-18 8:45:57","SymbolAndName",NA,NA
"68",-78.6284489,-0.003922,NA,"16-AGO-18 8:45:59","105","Flag, Blue","Alaspungo","16-AGO-18 8:45:59","16-AGO-18 8:45:59","SymbolAndName",NA,NA
"69",-78.6284489,-0.003922,NA,"16-AGO-18 8:46:02","106","Flag, Blue","Alaspungo","16-AGO-18 8:46:02","16-AGO-18 8:46:02","SymbolAndName",NA,NA
"70",-78.6284489,-0.003922,NA,"16-AGO-18 8:46:08","107","Flag, Blue","Alaspungo","16-AGO-18 8:46:08","16-AGO-18 8:46:08","SymbolAndName",NA,NA
"71",-78.6284489,-0.003922,NA,"16-AGO-18 8:46:12","108","Flag, Blue","Alaspungo","16-AGO-18 8:46:12","16-AGO-18 8:46:12","SymbolAndName",NA,NA
"72",-78.6284489,-0.003922,NA,"16-AGO-18 8:46:13","109","Flag, Blue","Alaspungo","16-AGO-18 8:46:13","16-AGO-18 8:46:13","SymbolAndName",NA,NA
"73",-78.6284489,-0.003922,NA,"16-AGO-18 8:46:15","110","Flag, Blue","Alaspungo","16-AGO-18 8:46:15","16-AGO-18 8:46:15","SymbolAndName",NA,NA
"74",-78.6284489,-0.003922,NA,"16-AGO-18 8:46:23","111","Flag, Blue","Alaspungo","16-AGO-18 8:46:23","16-AGO-18 8:46:23","SymbolAndName",NA,NA
"75",-78.6284489,-0.003922,NA,"16-AGO-18 8:46:25","112","Flag, Blue","Alaspungo","16-AGO-18 8:46:25","16-AGO-18 8:46:25","SymbolAndName",NA,NA
"76",-78.6284489,-0.003922,NA,"16-AGO-18 8:46:30","113","Flag, Blue","Alaspungo","16-AGO-18 8:46:30","16-AGO-18 8:46:30","SymbolAndName",NA,NA
"77",-78.6284489,-0.003922,NA,"16-AGO-18 8:46:32","114","Flag, Blue","Alaspungo","16-AGO-18 8:46:32","16-AGO-18 8:46:32","SymbolAndName",NA,NA
"78",-78.6284489,-0.003922,NA,"16-AGO-18 8:46:37","115","Flag, Blue","Alaspungo","16-AGO-18 8:46:37","16-AGO-18 8:46:37","SymbolAndName",NA,NA
"79",-78.6284489,-0.003922,NA,"16-AGO-18 8:46:38","116","Flag, Blue","Alaspungo","16-AGO-18 8:46:38","16-AGO-18 8:46:38","SymbolAndName",NA,NA
"80",-78.6284489,-0.003922,NA,"16-AGO-18 8:46:42","117","Flag, Blue","Alaspungo","16-AGO-18 8:46:42","16-AGO-18 8:46:42","SymbolAndName",NA,NA
"81",-78.6284489,-0.003922,NA,"16-AGO-18 8:46:44","118","Flag, Blue","Alaspungo","16-AGO-18 8:46:44","16-AGO-18 8:46:44","SymbolAndName",NA,NA
"82",-78.6284489,-0.003922,NA,"16-AGO-18 8:46:48","119","Flag, Blue","Alaspungo","16-AGO-18 8:46:48","16-AGO-18 8:46:48","SymbolAndName",NA,NA
"83",-78.6284489,-0.003922,NA,"16-AGO-18 8:46:51","120","Flag, Blue","Alaspungo","16-AGO-18 8:46:51","16-AGO-18 8:46:51","SymbolAndName",NA,NA
"84",-78.6284489,-0.003922,NA,"16-AGO-18 8:46:53","121","Flag, Blue","Alaspungo","16-AGO-18 8:46:53","16-AGO-18 8:46:53","SymbolAndName",NA,NA
"85",-78.6284489,-0.003922,NA,"16-AGO-18 8:46:56","122","Flag, Blue","Alaspungo","16-AGO-18 8:46:56","16-AGO-18 8:46:56","SymbolAndName",NA,NA
"86",-78.6284489,-0.003922,NA,"16-AGO-18 8:47:00","123","Flag, Blue","Alaspungo","16-AGO-18 8:47:00","16-AGO-18 8:47:00","SymbolAndName",NA,NA
