"","site","final_plant_name"
"94","SantaLuciaUpper","Mikania sp"
"95","SantaLuciaUpper","Renealmia sp1"
"96","SantaLuciaUpper","Solanceae sp5"
"97","UnPocoDelChoco_disturbed","Renealmia sp2"
"98","UnPocoDelChoco_disturbed","Tilandsia sp4"
"99","UnPocoDelChoco_disturbed","Pitcaernia verde"
"100","UnPocoDelChoco_disturbed","Reneleamia sp2"
"101","UnPocoDelChoco_disturbed","Rubiaceae sp"
"102","UnPocoDelChoco","Guzmania sp11"
"103","UnPocoDelChoco","Mano blanca"
"104","UnPocoDelChoco","Faramea sp1"
"105","UnPocoDelChoco","Tillandsia sp3"
"106","UnPocoDelChoco","Guzmania sp7"
"107","UnPocoDelChoco","Renealmia sp1"
"108","UnPocoDelChoco","Renealmia sp2"
"109","UnPocoDelChoco","Pitcairnia verde"
"110","UnPocoDelChoco","Gesnereaceae cepo"
"111","UnPocoDelChoco","Guzmania sp4"
"112","UnPocoDelChoco","Guzmania sp10"
"113","UnPocoDelChoco","Renealmiasp3"
"114","UnPocoDelChoco","Cabuya sp"
"115","Verdecocha","Fuchsia sp"
"116","Verdecocha","Na"
"117","Verdecocha","Cestrum sp1"
"118","Verdecocha","Schefflera sp1"
"119","Verdecocha","Miconia sp3"
"120","Verdecocha","Glossoloma sp1"
"121","Yanacocha_disturbed","Jaltomata sp"
"122","Yanacocha_disturbed","Cestrum sp"
"123","Yanacocha_disturbed","Nassa grandifolia"
"124","Yanacocha_disturbed","Abutilon hibrido"
"125","Yanacocha_disturbed","Digitalis hibrido"
"126","Yanacocha","Fuchsia sp"
"127","Yanacocha","Flor lila"
"128","Yanacocha","No hay flor"
